,Unnamed: 0,Player ID,Errores No Forzados,Winners,Puntos Ganados de Remate,% Primeros Saques,% Segundos Saques,% Puntos Ganados con Primeros Saques,% Puntos Ganados con Segundos Saques,Dobles Faltas,Km Recorridos,Zonas de Calor,Puntos de Break,Puntos de Oro,Errores No Forzados de Fondo de Pista,Errores No Forzados en Red,% de Restos Fallados,Posición Preferente,Partido,Edad,Genero,Jugador,Player_ID_new,Mail
22,22,22,5,10,23,69,42,11,5,6,0,A,11,23,10,1,25,R,1,<18,Masculino,Jeremy,22,playerpadel01@gmail.com
23,23,23,25,18,13,46,77,3,57,10,1,C,4,16,39,11,16,D,1,<18,Masculino,Samuel,23,playerpadel01@gmail.com
24,24,24,3,8,2,86,27,41,69,2,3,A,6,7,37,18,6,R,1,<18,Masculino,Christopher,24,playerpadel01@gmail.com
25,25,25,38,26,9,67,17,12,52,0,3,C,7,26,39,11,23,D,1,<18,Femenino,Ariel,25,playerpadel01@gmail.com
26,26,26,38,1,5,90,58,97,65,5,0,B,4,17,1,15,22,R,1,<18,Femenino,Brianna,26,playerpadel01@gmail.com
27,27,27,49,11,0,17,59,84,57,7,4,A,8,26,50,5,6,D,1,<18,Femenino,Tamara,27,playerpadel01@gmail.com
28,28,28,34,3,22,20,62,85,81,5,3,A,13,21,47,2,8,D,1,<18,Masculino,Timothy,28,playerpadel01@gmail.com
29,29,29,0,3,23,91,56,3,86,4,2,C,11,15,38,1,12,D,1,<18,Femenino,Stephanie,29,playerpadel01@gmail.com
30,30,30,23,17,13,98,91,81,1,10,3,A,3,1,9,19,19,R,1,<18,Masculino,Steven,30,playerpadel01@gmail.com
31,31,31,35,14,7,85,50,68,75,7,1,C,7,4,43,4,13,R,1,<18,Masculino,Scott,31,playerpadel01@gmail.com
32,32,32,5,18,18,22,55,18,21,1,3,B,16,17,16,10,15,D,1,<18,Masculino,Cory,32,playerpadel01@gmail.com
33,33,33,40,12,13,63,26,1,36,0,4,A,7,2,6,2,22,D,1,<18,Masculino,Joseph,33,playerpadel01@gmail.com
34,34,34,45,18,9,66,31,11,19,0,3,C,0,26,39,2,8,R,1,<18,Femenino,Jody,34,playerpadel01@gmail.com
35,35,4,43,16,16,39,8,80,23,3,0,A,1,16,38,4,14,R,1,<18,Masculino,Daniel,4,playerpadel01@gmail.com
36,36,35,30,5,8,9,95,73,83,5,3,C,3,15,3,10,4,D,1,<18,Masculino,Joe,35,playerpadel01@gmail.com
37,37,36,19,15,5,88,83,97,64,8,4,C,0,5,34,2,17,R,1,<18,Masculino,Benjamin,36,playerpadel01@gmail.com
38,38,37,23,23,10,51,91,5,64,0,0,C,6,6,50,12,30,R,1,<18,Masculino,Cameron,37,playerpadel01@gmail.com
39,39,1,24,11,24,71,96,7,80,0,2,B,0,13,46,20,20,R,1,<18,Femenino,Angelica,1,playerpadel01@gmail.com
40,40,38,35,18,6,74,67,50,0,4,0,A,8,14,35,7,19,R,1,<18,Masculino,Justin,38,playerpadel01@gmail.com
41,41,39,20,4,16,60,45,10,93,9,1,B,2,32,30,19,7,R,1,<18,Femenino,Laurie,39,playerpadel01@gmail.com
42,42,33,29,16,0,63,97,62,2,4,0,C,11,26,24,9,14,R,1,<18,Masculino,Joseph,33,playerpadel01@gmail.com
43,43,40,23,25,21,4,66,56,45,4,2,C,18,28,40,1,20,D,1,<18,Masculino,Andrew,40,playerpadel01@gmail.com
44,44,41,43,22,4,52,25,11,54,9,3,B,14,36,12,3,24,D,1,<18,Femenino,Ashley,41,playerpadel01@gmail.com
45,45,42,41,25,8,54,7,72,74,5,0,B,15,4,17,17,8,D,1,<18,Femenino,Jennifer,42,playerpadel01@gmail.com
46,46,24,29,28,17,36,5,1,87,7,0,A,9,28,20,18,18,D,1,<18,Masculino,Christopher,24,playerpadel01@gmail.com
47,47,43,21,0,23,55,79,7,85,2,0,C,5,31,47,3,28,D,1,<18,Femenino,Judy,43,playerpadel01@gmail.com
48,48,44,27,27,20,58,23,10,63,8,0,B,16,5,0,19,25,D,1,<18,Masculino,Nathan,44,playerpadel01@gmail.com
49,49,45,6,26,1,92,47,52,44,0,2,C,16,1,35,8,30,R,1,<18,Femenino,Cynthia,45,playerpadel01@gmail.com
50,50,46,34,24,25,68,93,99,25,3,4,C,18,5,49,15,21,R,1,<18,Masculino,Austin,46,playerpadel01@gmail.com
51,51,24,27,23,10,72,44,9,76,8,4,A,17,3,7,5,5,D,1,<18,Masculino,Christopher,24,playerpadel01@gmail.com
52,52,47,13,22,5,58,12,84,64,7,0,A,10,28,47,3,3,D,1,<18,Femenino,Lynn,47,playerpadel01@gmail.com
53,53,48,9,9,25,1,68,83,23,9,2,A,6,24,20,8,10,D,1,<18,Femenino,Stacey,48,playerpadel01@gmail.com
54,54,49,15,14,7,64,24,7,73,8,2,B,9,8,42,12,28,R,1,<18,Femenino,Dana,49,playerpadel01@gmail.com
55,55,50,15,22,3,59,19,35,34,0,0,C,6,2,20,8,9,R,1,<18,Masculino,Alec,50,playerpadel01@gmail.com
56,56,51,30,20,17,50,81,92,23,8,1,B,4,25,26,5,2,R,1,<18,Femenino,Heather,51,playerpadel01@gmail.com
57,57,14,41,20,10,29,81,75,27,2,0,B,11,26,18,20,0,R,1,<18,Femenino,Kelly,14,playerpadel01@gmail.com
58,58,52,24,10,4,10,65,13,99,10,1,A,15,35,22,18,11,D,1,<18,Masculino,Travis,52,playerpadel01@gmail.com
59,59,53,12,12,14,91,73,53,79,9,0,C,17,31,50,13,22,D,1,<18,Femenino,Debra,53,playerpadel01@gmail.com
60,60,54,5,4,17,75,44,84,15,8,1,C,2,0,49,20,14,D,1,<18,Masculino,Lucas,54,playerpadel01@gmail.com
61,61,55,43,0,1,38,46,85,58,0,1,A,14,15,50,14,14,D,1,<18,Masculino,Ian,55,playerpadel01@gmail.com
62,62,56,8,23,21,89,62,20,80,0,0,C,4,10,42,2,20,R,1,<18,Masculino,Kevin,56,playerpadel01@gmail.com
63,63,57,44,11,10,76,75,49,53,8,1,A,12,25,34,4,13,R,1,<18,Femenino,Kimberly,57,playerpadel01@gmail.com
64,64,58,35,10,25,71,76,93,78,10,3,B,18,0,39,20,25,D,1,<18,Femenino,Sara,58,playerpadel01@gmail.com
65,65,59,42,16,24,62,54,38,15,5,4,B,11,25,50,17,30,R,1,<18,Femenino,Marcia,59,playerpadel01@gmail.com
66,66,60,19,3,12,63,74,19,14,3,2,A,4,27,41,13,6,R,1,<18,Femenino,Alyssa,60,playerpadel01@gmail.com
67,67,61,17,14,3,60,18,87,97,6,1,B,5,8,47,15,16,R,1,<18,Femenino,Penny,61,playerpadel01@gmail.com
68,68,20,42,24,21,53,34,86,10,4,1,B,6,21,4,13,23,R,1,<18,Femenino,Jessica,20,playerpadel01@gmail.com
69,69,11,20,29,6,91,52,6,64,9,2,A,9,7,40,8,18,D,1,<18,Masculino,Matthew,11,playerpadel01@gmail.com
70,70,62,3,8,10,93,25,8,78,6,1,B,15,26,7,14,6,R,1,<18,Femenino,Teresa,62,playerpadel01@gmail.com
71,71,63,49,20,21,72,13,0,89,7,2,C,7,18,10,6,27,D,1,<18,Masculino,Keith,63,playerpadel01@gmail.com
72,72,64,32,19,23,94,44,25,67,7,0,B,8,24,15,13,2,R,1,<18,Femenino,Deborah,64,playerpadel01@gmail.com
73,73,65,26,18,3,57,43,37,42,0,3,A,3,20,38,5,29,R,1,<18,Masculino,Richard,65,playerpadel01@gmail.com
74,74,66,6,18,14,84,87,37,68,7,3,C,7,23,46,20,2,D,1,<18,Femenino,Jacqueline,66,playerpadel01@gmail.com
75,75,2,5,11,0,55,64,60,98,5,4,C,6,23,23,14,25,D,1,<18,Femenino,Charlene,2,playerpadel01@gmail.com
76,76,57,14,4,22,33,50,43,12,3,1,B,14,18,20,19,24,R,1,<18,Femenino,Kimberly,57,playerpadel01@gmail.com
77,77,67,17,9,2,30,42,85,9,7,4,C,2,1,22,7,28,R,1,<18,Masculino,William,67,playerpadel01@gmail.com
78,78,57,31,16,13,51,85,43,74,2,0,A,16,13,48,1,17,D,1,<18,Femenino,Kimberly,57,playerpadel01@gmail.com
79,79,26,10,4,5,88,22,73,81,3,3,C,10,31,37,7,29,R,1,<18,Femenino,Brianna,26,playerpadel01@gmail.com
80,80,68,19,21,17,75,55,61,97,5,0,B,8,31,46,0,19,R,1,<18,Masculino,Nicholas,68,playerpadel01@gmail.com
81,81,33,23,15,24,0,18,5,40,10,0,B,4,27,7,16,21,D,1,<18,Masculino,Joseph,33,playerpadel01@gmail.com
82,82,69,14,6,0,54,81,16,49,6,1,C,9,12,6,18,13,R,1,<18,Masculino,Stephen,69,playerpadel01@gmail.com
83,83,18,47,27,5,21,75,50,86,3,0,A,14,11,1,4,2,R,1,<18,Masculino,Randy,18,playerpadel01@gmail.com
84,84,70,6,8,5,39,54,37,70,3,3,A,13,7,29,19,27,R,1,<18,Femenino,Lauren,70,playerpadel01@gmail.com
85,85,71,20,2,20,100,91,23,58,6,4,B,3,14,12,15,25,R,1,<18,Femenino,Katherine,71,playerpadel01@gmail.com
86,86,33,41,14,15,0,91,50,38,5,3,B,1,25,22,6,29,R,1,<18,Masculino,Joseph,33,playerpadel01@gmail.com
87,87,72,25,15,4,64,59,9,2,10,1,A,11,11,28,6,25,D,1,<18,Femenino,Phyllis,72,playerpadel01@gmail.com
88,88,73,43,17,16,62,58,71,75,7,3,C,0,26,37,17,6,R,1,<18,Femenino,Elizabeth,73,playerpadel01@gmail.com
89,89,74,13,13,9,53,32,20,6,0,2,C,4,17,36,17,6,D,1,<18,Femenino,Carolyn,74,playerpadel01@gmail.com
90,90,75,36,2,20,41,18,69,48,9,4,C,5,35,19,1,30,D,1,<18,Femenino,Tiffany,75,playerpadel01@gmail.com
91,91,76,20,11,17,20,27,84,25,10,2,C,10,26,32,14,4,R,1,<18,Femenino,Natalie,76,playerpadel01@gmail.com
92,92,77,17,8,6,78,51,56,32,6,2,A,7,8,28,13,2,D,1,<18,Femenino,Laura,77,playerpadel01@gmail.com
93,93,78,4,27,2,80,48,38,100,6,1,B,6,0,49,17,17,R,1,<18,Masculino,Robert,78,playerpadel01@gmail.com
94,94,67,2,6,12,21,36,87,47,10,0,B,3,6,14,8,14,D,1,<18,Masculino,William,67,playerpadel01@gmail.com
95,95,79,22,8,14,37,25,32,78,6,2,C,5,25,22,13,30,D,1,<18,Masculino,Edward,79,playerpadel01@gmail.com
96,96,80,25,12,19,98,98,58,1,6,3,A,15,6,41,4,19,D,1,<18,Masculino,John,80,playerpadel01@gmail.com
97,97,81,36,17,18,79,97,17,70,9,0,A,14,6,2,10,13,R,1,<18,Femenino,Beth,81,playerpadel01@gmail.com
98,98,67,23,4,2,7,98,55,31,9,3,C,13,7,36,7,30,D,1,<18,Masculino,William,67,playerpadel01@gmail.com
99,99,82,48,12,3,61,39,91,3,7,3,C,11,15,28,4,28,D,1,<18,Masculino,Bryce,82,playerpadel01@gmail.com
100,100,83,18,3,4,46,79,56,19,8,0,C,11,2,44,10,3,D,1,<18,Femenino,Christina,83,playerpadel01@gmail.com
101,101,15,50,30,0,16,37,95,35,8,0,B,15,9,7,4,26,R,1,<18,Masculino,David,15,playerpadel01@gmail.com
102,102,84,24,1,3,16,76,75,31,1,3,C,14,6,21,16,23,R,1,<18,Femenino,Lindsay,84,playerpadel01@gmail.com
103,103,85,20,15,11,89,86,47,27,6,1,B,12,20,28,3,7,D,1,<18,Femenino,Shelly,85,playerpadel01@gmail.com
104,104,52,11,8,23,12,53,41,76,6,4,A,10,36,1,14,28,D,1,<18,Masculino,Travis,52,playerpadel01@gmail.com
105,105,33,40,8,9,16,21,26,0,3,4,A,16,30,40,18,20,D,1,<18,Masculino,Joseph,33,playerpadel01@gmail.com
106,106,81,32,5,22,37,15,73,59,8,1,B,14,22,48,1,12,D,1,<18,Femenino,Beth,81,playerpadel01@gmail.com
107,107,86,49,10,24,80,27,51,55,7,0,B,13,26,49,16,21,R,1,<18,Masculino,Jared,86,playerpadel01@gmail.com
108,108,87,3,21,20,77,34,41,34,0,3,B,9,21,44,11,7,R,1,<18,Femenino,Rachel,87,playerpadel01@gmail.com
109,109,18,41,23,25,44,59,31,29,1,4,B,11,26,0,16,14,R,1,<18,Masculino,Randy,18,playerpadel01@gmail.com
110,110,88,6,21,19,5,44,25,53,1,3,C,15,3,43,9,16,D,1,<18,Masculino,Leslie,88,playerpadel01@gmail.com
111,111,48,21,0,23,34,45,24,35,10,1,A,14,23,19,17,4,R,1,<18,Femenino,Stacey,48,playerpadel01@gmail.com
112,112,56,32,3,24,13,71,74,54,7,3,C,9,22,20,18,19,D,1,<18,Masculino,Kevin,56,playerpadel01@gmail.com
113,113,14,16,12,12,71,54,22,88,0,1,B,3,18,36,17,3,D,1,<18,Femenino,Kelly,14,playerpadel01@gmail.com
114,114,89,23,22,22,60,85,97,79,3,0,C,8,2,7,12,10,D,1,<18,Masculino,Donald,89,playerpadel01@gmail.com
115,115,71,33,12,13,14,84,56,57,9,1,C,8,26,26,13,17,R,1,<18,Femenino,Katherine,71,playerpadel01@gmail.com
116,116,90,27,12,22,53,25,51,82,4,1,A,10,2,46,15,9,D,1,<18,Masculino,Jonathan,90,playerpadel01@gmail.com
117,117,91,42,1,4,26,84,86,64,8,4,C,10,27,34,17,16,R,1,<18,Femenino,Bethany,91,playerpadel01@gmail.com
118,118,79,40,8,3,12,24,92,68,6,3,A,6,16,5,17,29,D,1,<18,Masculino,Edward,79,playerpadel01@gmail.com
119,119,90,38,23,13,30,64,30,50,7,4,B,9,30,44,15,14,R,1,<18,Masculino,Jonathan,90,playerpadel01@gmail.com
120,120,92,21,7,9,34,5,63,21,10,2,C,3,9,43,16,5,D,1,<18,Femenino,Jocelyn,92,playerpadel01@gmail.com
121,121,58,48,6,16,59,22,70,87,8,1,B,4,21,18,6,22,R,1,<18,Femenino,Sara,58,playerpadel01@gmail.com
122,122,93,16,3,9,5,63,32,100,6,2,A,4,29,17,11,20,D,1,<18,Masculino,Mark,93,playerpadel01@gmail.com
123,123,94,33,17,25,68,86,84,52,4,4,B,10,20,0,1,15,R,1,<18,Femenino,Sandra,94,playerpadel01@gmail.com
124,124,95,5,2,6,85,42,1,99,4,3,B,8,35,24,9,14,D,1,<18,Masculino,Jacob,95,playerpadel01@gmail.com
125,125,96,45,27,15,57,22,17,35,9,4,A,15,22,26,4,7,D,1,<18,Masculino,Chris,96,playerpadel01@gmail.com
126,126,71,5,5,0,48,95,46,67,10,3,B,8,11,6,20,8,D,1,<18,Femenino,Katherine,71,playerpadel01@gmail.com
127,127,97,33,11,16,22,29,32,35,5,3,B,3,24,43,2,10,R,1,<18,Masculino,Ronald,97,playerpadel01@gmail.com
128,128,98,0,11,20,88,76,100,51,4,0,B,1,19,41,18,26,D,1,<18,Femenino,Jill,98,playerpadel01@gmail.com
129,129,20,9,20,8,33,17,97,52,10,1,C,13,6,28,12,1,D,1,<18,Femenino,Jessica,20,playerpadel01@gmail.com
130,130,53,20,27,5,25,86,83,81,8,4,B,2,28,30,11,26,D,1,<18,Femenino,Debra,53,playerpadel01@gmail.com
131,131,67,4,7,18,46,78,34,49,2,3,A,17,28,43,2,12,R,1,<18,Masculino,William,67,playerpadel01@gmail.com
132,132,99,1,21,12,4,96,50,79,2,4,C,5,12,42,5,3,D,1,<18,Masculino,Joshua,99,playerpadel01@gmail.com
133,133,100,21,21,2,89,20,17,40,6,4,C,10,2,35,13,26,D,1,<18,Femenino,Sierra,100,playerpadel01@gmail.com
134,134,101,47,0,6,19,56,87,17,6,3,A,17,1,18,3,8,R,1,<18,Femenino,Anna,101,playerpadel01@gmail.com
135,135,102,1,3,21,5,22,71,21,5,2,B,11,15,5,12,4,D,1,<18,Femenino,Mary,102,playerpadel01@gmail.com
136,136,103,9,20,8,69,90,29,65,2,1,C,4,29,24,18,18,R,1,<18,Masculino,Shawn,103,playerpadel01@gmail.com
137,137,102,33,27,21,58,44,43,20,6,1,C,8,5,30,17,21,D,1,<18,Femenino,Mary,102,playerpadel01@gmail.com
138,138,104,15,10,4,63,43,52,99,4,0,C,17,6,8,2,30,R,1,<18,Femenino,Vanessa,104,playerpadel01@gmail.com
139,139,105,47,2,9,17,81,9,43,6,0,B,18,4,19,19,2,R,1,<18,Femenino,Sue,105,playerpadel01@gmail.com
140,140,88,50,12,22,3,87,86,46,1,0,C,2,6,9,5,29,R,1,<18,Masculino,Leslie,88,playerpadel01@gmail.com
141,141,106,38,24,16,16,46,51,38,5,1,A,8,33,36,15,20,D,1,<18,Masculino,Isaac,106,playerpadel01@gmail.com
142,142,107,21,16,11,13,39,48,28,7,2,B,3,31,26,19,2,D,1,<18,Femenino,Michele,107,playerpadel01@gmail.com
143,143,53,11,21,22,77,50,10,53,0,1,A,16,12,12,2,5,R,1,<18,Femenino,Debra,53,playerpadel01@gmail.com
144,144,108,23,21,15,12,41,65,89,3,1,A,16,29,40,11,27,D,1,<18,Masculino,Michael,108,playerpadel01@gmail.com
145,145,109,46,9,2,6,6,57,84,10,1,C,1,24,1,18,9,D,1,<18,Masculino,Aaron,109,playerpadel01@gmail.com
146,146,110,39,20,24,43,49,89,16,0,1,C,8,20,49,18,4,R,1,<18,Masculino,Ryan,110,playerpadel01@gmail.com
147,147,111,37,11,21,14,47,35,79,0,2,C,8,20,20,3,29,R,1,<18,Femenino,Amanda,111,playerpadel01@gmail.com
148,148,112,9,14,8,18,83,32,59,9,0,A,4,27,32,0,24,R,1,<18,Femenino,Kristen,112,playerpadel01@gmail.com
149,149,113,34,20,14,62,90,46,30,10,4,B,14,19,23,1,2,R,1,<18,Femenino,Sarah,113,playerpadel01@gmail.com
150,150,29,50,9,4,34,5,12,72,7,0,C,14,33,43,12,21,D,1,<18,Femenino,Stephanie,29,playerpadel01@gmail.com
151,151,66,48,13,22,80,90,39,94,6,0,C,2,4,41,12,23,D,1,<18,Femenino,Jacqueline,66,playerpadel01@gmail.com
152,152,114,31,12,12,34,8,88,77,9,4,A,18,17,33,1,6,D,1,<18,Femenino,Gloria,114,playerpadel01@gmail.com
153,153,112,6,4,13,18,56,67,48,0,1,B,2,10,8,18,21,D,1,<18,Femenino,Kristen,112,playerpadel01@gmail.com
154,154,115,20,5,19,19,30,41,100,10,2,A,5,16,1,15,29,D,1,<18,Masculino,Jason,115,playerpadel01@gmail.com
155,155,29,19,23,14,99,20,18,1,1,2,C,3,21,29,11,30,D,1,<18,Femenino,Stephanie,29,playerpadel01@gmail.com
156,156,116,25,1,15,34,89,81,47,3,0,A,12,36,21,0,17,R,1,<18,Masculino,Jeffery,116,playerpadel01@gmail.com
157,157,13,3,21,22,31,39,100,13,0,4,C,12,19,45,8,30,D,1,<18,Femenino,Emily,13,playerpadel01@gmail.com
158,158,73,45,16,12,47,44,93,58,2,3,B,10,5,10,16,22,D,1,<18,Femenino,Elizabeth,73,playerpadel01@gmail.com
159,159,117,21,3,16,43,76,18,96,7,1,A,4,33,42,9,7,D,1,<18,Femenino,Shawna,117,playerpadel01@gmail.com
160,160,62,14,13,22,23,48,57,98,7,0,C,0,13,16,17,0,R,1,<18,Femenino,Teresa,62,playerpadel01@gmail.com
161,161,108,39,9,7,60,86,22,57,7,2,C,8,22,35,18,30,R,1,<18,Masculino,Michael,108,playerpadel01@gmail.com
162,162,40,20,2,20,16,19,53,57,5,4,C,16,19,12,6,24,D,1,<18,Masculino,Andrew,40,playerpadel01@gmail.com
163,163,118,14,24,1,70,100,79,50,5,4,C,0,12,6,18,3,R,1,<18,Masculino,Adam,118,playerpadel01@gmail.com
164,164,119,21,2,4,49,91,64,83,4,0,A,2,31,15,14,23,R,1,<18,Femenino,Bianca,119,playerpadel01@gmail.com
165,165,120,27,14,5,64,16,11,1,8,3,C,14,25,32,8,30,D,1,<18,Masculino,Gary,120,playerpadel01@gmail.com
166,166,121,13,5,11,98,27,23,40,3,2,A,9,13,44,9,25,D,1,<18,Masculino,Patrick,121,playerpadel01@gmail.com
167,167,122,26,16,17,31,40,33,82,9,0,C,7,35,0,19,6,D,1,<18,Femenino,Carol,122,playerpadel01@gmail.com
168,168,111,40,11,21,35,65,52,100,6,3,A,11,7,10,19,13,R,1,<18,Femenino,Amanda,111,playerpadel01@gmail.com
169,169,123,39,21,21,12,24,7,81,0,4,A,14,21,5,3,12,R,1,<18,Masculino,Jimmy,123,playerpadel01@gmail.com
170,170,92,27,19,0,69,57,17,15,8,1,C,8,21,19,5,9,D,1,<18,Femenino,Jocelyn,92,playerpadel01@gmail.com
171,171,124,25,23,16,57,40,56,3,6,2,C,9,15,34,3,22,R,1,<18,Masculino,Cody,124,playerpadel01@gmail.com
172,172,20,48,28,10,13,5,4,11,9,2,C,8,26,43,4,17,R,1,<18,Femenino,Jessica,20,playerpadel01@gmail.com
173,173,125,1,10,9,36,74,25,28,8,3,C,14,9,36,8,0,R,1,<18,Femenino,Connie,125,playerpadel01@gmail.com
174,174,126,24,24,18,78,37,29,6,6,0,B,0,24,40,11,3,D,1,<18,Femenino,Nancy,126,playerpadel01@gmail.com
175,175,127,2,3,13,67,5,53,13,1,4,C,1,30,25,7,27,D,1,<18,Femenino,Melissa,127,playerpadel01@gmail.com
176,176,48,7,25,25,39,44,12,11,5,3,C,18,20,11,20,15,D,1,<18,Femenino,Stacey,48,playerpadel01@gmail.com
177,177,128,43,27,9,58,74,82,98,9,1,C,13,26,29,4,15,D,1,<18,Femenino,Andrea,128,playerpadel01@gmail.com
178,178,129,32,25,14,79,13,28,4,10,1,A,7,16,27,10,17,D,1,<18,Femenino,Kayla,129,playerpadel01@gmail.com
179,179,78,41,5,18,91,65,2,80,3,1,C,5,32,26,10,7,R,1,<18,Masculino,Robert,78,playerpadel01@gmail.com
180,180,40,34,0,3,15,39,89,31,2,3,A,11,30,41,12,9,R,1,<18,Masculino,Andrew,40,playerpadel01@gmail.com
181,181,130,5,19,1,61,2,57,73,1,4,A,14,25,18,13,15,R,1,<18,Masculino,Casey,130,playerpadel01@gmail.com
182,182,41,38,22,8,3,98,75,42,5,2,A,13,20,4,7,22,R,1,<18,Femenino,Ashley,41,playerpadel01@gmail.com
183,183,131,22,27,9,44,96,1,80,7,0,A,0,35,4,17,23,R,1,<18,Femenino,Brandi,131,playerpadel01@gmail.com
184,184,132,24,15,10,89,23,74,68,5,2,B,10,0,40,18,10,R,1,<18,Masculino,Joel,132,playerpadel01@gmail.com
185,185,133,49,14,13,27,18,27,44,8,4,C,2,3,26,11,5,D,1,<18,Femenino,Haley,133,playerpadel01@gmail.com
186,186,134,42,16,6,95,17,81,8,4,2,A,18,3,27,11,0,D,1,<18,Masculino,Brian,134,playerpadel01@gmail.com
187,187,135,18,7,22,65,63,76,48,1,3,C,17,25,25,17,29,R,1,<18,Masculino,Peter,135,playerpadel01@gmail.com
188,188,36,4,27,14,30,87,100,32,7,1,A,1,3,26,9,28,D,1,<18,Masculino,Benjamin,36,playerpadel01@gmail.com
189,189,136,50,25,21,2,34,85,99,8,4,B,6,8,48,6,28,R,1,<18,Masculino,Gregory,136,playerpadel01@gmail.com
190,190,137,10,11,18,7,61,75,99,9,4,A,7,29,41,17,11,R,1,<18,Femenino,Denise,137,playerpadel01@gmail.com
191,191,15,11,26,21,23,0,1,17,3,2,C,18,3,20,11,24,D,1,<18,Masculino,David,15,playerpadel01@gmail.com
192,192,79,9,21,14,14,99,100,8,5,3,C,14,4,0,13,5,D,1,<18,Masculino,Edward,79,playerpadel01@gmail.com
193,193,138,7,20,23,42,24,6,61,10,2,B,9,22,27,14,27,R,1,<18,Femenino,Margaret,138,playerpadel01@gmail.com
194,194,139,23,9,7,30,44,25,56,9,2,C,0,15,47,15,12,D,1,<18,Masculino,Thomas,139,playerpadel01@gmail.com
195,195,24,27,26,10,72,48,89,28,7,4,C,5,21,14,1,25,R,1,<18,Masculino,Christopher,24,playerpadel01@gmail.com
196,196,128,40,14,8,44,97,87,77,8,2,A,12,36,16,17,16,R,1,<18,Femenino,Andrea,128,playerpadel01@gmail.com
197,197,140,35,29,14,65,88,75,24,4,1,C,13,7,25,11,0,R,1,<18,Femenino,Cheryl,140,playerpadel01@gmail.com
198,198,141,36,8,0,7,15,15,14,5,2,A,2,32,19,15,7,R,1,<18,Masculino,Philip,141,playerpadel01@gmail.com
199,199,62,20,1,0,70,97,22,5,10,1,B,10,15,24,12,21,R,1,<18,Femenino,Teresa,62,playerpadel01@gmail.com
